Ticker,date,close,volume,sentiment,headline,News_Body,Time,seq
NasdaqGS:INTC,6/1/2012,25.14,40.25065,,,,,
NasdaqGS:INTC,6/4/2012,25.04,39.90481,,,,,
NasdaqGS:INTC,6/5/2012,25.43,29.49124,,,,,
NasdaqGS:INTC,6/6/2012,26.07,33.55569,,,,,
NasdaqGS:INTC,6/7/2012,25.94,29.53801,,,,,
NasdaqGS:INTC,6/8/2012,26.41,26.75337,,,,,
NasdaqGS:INTC,6/11/2012,25.985,28.04409,,,,,
NasdaqGS:INTC,6/12/2012,26.52,29.13681,,,,,
NasdaqGS:INTC,6/13/2012,26.54,30.52028,,,,,
NasdaqGS:INTC,6/14/2012,26.98,38.30112,,,,,
NasdaqGS:INTC,6/15/2012,27.34,51.84098,,,,,
NasdaqGS:INTC,6/18/2012,27.42,30.43958,,,,,
NasdaqGS:INTC,6/19/2012,27.51,30.06703,,,,,
NasdaqGS:INTC,6/20/2012,27.64,28.168,,,,,
NasdaqGS:INTC,6/21/2012,26.71,47.57461,,,,,
NasdaqGS:INTC,6/22/2012,26.935,100.3606,,,,,
NasdaqGS:INTC,6/25/2012,26.05,41.78722,,,,,
NasdaqGS:INTC,6/26/2012,26.005,34.93551,,,,,
NasdaqGS:INTC,6/27/2012,26.22,23.64421,,,,,
NasdaqGS:INTC,6/28/2012,25.83,40.16826,,,,,
NasdaqGS:INTC,6/29/2012,26.65,35.08229,,,,,
NasdaqGS:INTC,7/2/2012,26.665,21.74108,,,,,
NasdaqGS:INTC,7/3/2012,26.86,12.51934,,,,,
NasdaqGS:INTC,7/5/2012,26.55,20.32685,,,,,
NasdaqGS:INTC,7/6/2012,26.155,32.52405,,,,,
NasdaqGS:INTC,7/9/2012,26.17,27.91011,,,,,
NasdaqGS:INTC,7/10/2012,25.56,47.23666,,,,,
NasdaqGS:INTC,7/11/2012,25.39,34.80915,,,,,
NasdaqGS:INTC,7/12/2012,24.74,53.15057,,,,,
NasdaqGS:INTC,7/13/2012,25.25,35.97615,,,,,
NasdaqGS:INTC,7/16/2012,25.13,36.98923,,,,,
NasdaqGS:INTC,7/17/2012,25.38,63.63149,,,,,
NasdaqGS:INTC,7/18/2012,26.21,67.50341,,,,,
NasdaqGS:INTC,7/19/2012,26.06,36.55976,,,,,
NasdaqGS:INTC,7/20/2012,25.52,48.84928,,,,,
NasdaqGS:INTC,7/23/2012,25.26,36.38418,,,,,
